*HASH_VALUE	creature ID	name	ia	da	cc	pr	p	pia	pda
_7B7789EF66140019	cabde3	Prakker mauvais	un	le	du	au	Prakkers mauvais	des	les
_1A44FEBE8B443C53	cabde4	Prakker attaquant	un	le	du	au	Prakkers attaquants	des	les
_97B713A99BE11171	cabdf1	Prakker horrifiant	un	le	du	au	Prakkers horrifiants	des	les
_5CA42EBC0EE55066	cabdf2	Prakker atroce	un	le	du	au	Prakkers atroces	des	les
_9B81D675823A1D78	cabdf3	Prakker funeste	un	le	du	au	Prakkers funestes	des	les
_853FC2683CAA34B3	cabfa1	Petit Prakker	un	le	du	au	Petits Prakkers	des	les
_99E5F66F0705ED3A	cabfa2	Prakker primitif	un	le	du	au	Prakkers primitifs	des	les
_83B56A97FDEE515F	cabfa3	Prakker apaisé	un	le	du	au	Prakkers apaisés	des	les
_AE7F2D0A773E4CB8	cabfa4	Prakker rapide	un	le	du	au	Prakkers rapides	des	les
_F310210E7A4E40B9	cabfb1	Prakker gluant	un	le	du	au	Prakkers gluants	des	les
_05FEBE58BD1A5CB7	cabfb2	Prakker ordinaire	un	le	du	au	Prakkers ordinaires	des	les
_9775EE2184EC230A	cabfb3	Prakker en chasse	un	le	du	au	Prakkers en chasse	des	les
_B2B04D12F42D4CB9	cabfb4	Prakker adulte	un	le	du	au	Prakkers adultes	des	les
_E1B832AEE534BD6D	cabfc1	Prakker très vigoureux	un	le	du	au	Prakkers très vigoureux	des	les
_5535D66B05C4E12F	cabfc2	Prakker défensif	un	le	du	au	Prakkers défensifs	des	les
_D671DA7F3D2A217F	cabfc3	Prakker fouilleur	un	le	du	au	Prakkers fouilleurs	des	les
_DA76222E884C1B13	cabfd1	Prakker embusqué	un	le	du	au	Prakkers embusqués	des	les
_9AE0E27F01992580	cabfd2	Prakker rôdeur	un	le	du	au	Prakkers rôdeurs	des	les
_9CF29974066B0372	cabfd3	Prakker furieux	un	le	du	au	Prakkers furieux	des	les
_FB77390568560418	cabfd4	Prakker indompté	un	le	du	au	Prakkers indomptés	des	les
_D62516660985F547	cabfe1	Prakker énorme	un	le	du	au	Prakkers énormes	des	les
_D720CA8D3ED90D8F	cabfe2	Prakker insatiable	un	le	du	au	Prakkers insatiables	des	les
_FB7789EF66140019	cabfe3	Prakker mauvais	un	le	du	au	Prakkers mauvais	des	les
_9A44FEBE8B443C53	cabfe4	Prakker attaquant	un	le	du	au	Prakkers attaquants	des	les
_17B713A99BE11171	cabff1	Prakker horrifiant	un	le	du	au	Prakkers horrifiants	des	les
_DCA42EBC0EE55066	cabff2	Prakker atroce	un	le	du	au	Prakkers atroces	des	les
_1B81D675823A1D78	cabff3	Prakker funeste	un	le	du	au	Prakkers funestes	des	les
_863FC2683CAA34B3	cabja1	Petit Prakker	un	le	du	au	Petits Prakkers	des	les
_9AE5F66F0705ED3A	cabja2	Prakker primitif	un	le	du	au	Prakkers primitifs	des	les
_84B56A97FDEE515F	cabja3	Prakker apaisé	un	le	du	au	Prakkers apaisés	des	les
_AF7F2D0A773E4CB8	cabja4	Prakker rapide	un	le	du	au	Prakkers rapides	des	les
_F410210E7A4E40B9	cabjb1	Prakker gluant	un	le	du	au	Prakkers gluants	des	les
_06FEBE58BD1A5CB7	cabjb2	Prakker ordinaire	un	le	du	au	Prakkers ordinaires	des	les
_9875EE2184EC230A	cabjb3	Prakker en chasse	un	le	du	au	Prakkers en chasse	des	les
_B3B04D12F42D4CB9	cabjb4	Prakker adulte	un	le	du	au	Prakkers adultes	des	les
_E2B832AEE534BD6D	cabjc1	Prakker très vigoureux	un	le	du	au	Prakkers très vigoureux	des	les
_5635D66B05C4E12F	cabjc2	Prakker défensif	un	le	du	au	Prakkers défensifs	des	les
_D771DA7F3D2A217F	cabjc3	Prakker fouilleur	un	le	du	au	Prakkers fouilleurs	des	les
_190FB6797FC80179	cabjc4	Prakker pétrifiant	un	le	du	au	Prakkers pétrifiants	des	les
_DB76222E884C1B13	cabjd1	Prakker embusqué	un	le	du	au	Prakkers embusqués	des	les
_9BE0E27F01992580	cabjd2	Prakker rôdeur	un	le	du	au	Prakkers rôdeurs	des	les
_9DF29974066B0372	cabjd3	Prakker furieux	un	le	du	au	Prakkers furieux	des	les
_FC77390568560418	cabjd4	Prakker indompté	un	le	du	au	Prakkers indomptés	des	les
_D72516660985F547	cabje1	Prakker énorme	un	le	du	au	Prakkers énormes	des	les
_D820CA8D3ED90D8F	cabje2	Prakker insatiable	un	le	du	au	Prakkers insatiables	des	les
_FC7789EF66140019	cabje3	Prakker mauvais	un	le	du	au	Prakkers mauvais	des	les
_9B44FEBE8B443C53	cabje4	Prakker attaquant	un	le	du	au	Prakkers attaquants	des	les
_18B713A99BE11171	cabjf1	Prakker horrifiant	un	le	du	au	Prakkers horrifiants	des	les
_DDA42EBC0EE55066	cabjf2	Prakker atroce	un	le	du	au	Prakkers atroces	des	les
_1C81D675823A1D78	cabjf3	Prakker funeste	un	le	du	au	Prakkers funestes	des	les
_073FC2683CAA34B3	cabla1	Petit Prakker	un	le	du	au	Petits Prakkers	des	les
_1BE5F66F0705ED3A	cabla2	Prakker primitif	un	le	du	au	Prakkers primitifs	des	les
_05B56A97FDEE515F	cabla3	Prakker apaisé	un	le	du	au	Prakkers apaisés	des	les
_307F2D0A773E4CB8	cabla4	Prakker rapide	un	le	du	au	Prakkers rapides	des	les
_083FC2683CAA34B3	cabpa1	Petit Prakker	un	le	du	au	Petits Prakkers	des	les
_1CE5F66F0705ED3A	cabpa2	Prakker primitif	un	le	du	au	Prakkers primitifs	des	les
_06B56A97FDEE515F	cabpa3	Prakker apaisé	un	le	du	au	Prakkers apaisés	des	les
_317F2D0A773E4CB8	cabpa4	Prakker rapide	un	le	du	au	Prakkers rapides	des	les
_7610210E7A4E40B9	cabpb1	Prakker gluant	un	le	du	au	Prakkers gluants	des	les
_88FEBE58BD1A5CB7	cabpb2	Prakker ordinaire	un	le	du	au	Prakkers ordinaires	des	les
_1A75EE2184EC230A	cabpb3	Prakker en chasse	un	le	du	au	Prakkers en chasse	des	les
_35B04D12F42D4CB9	cabpb4	Prakker adulte	un	le	du	au	Prakkers adultes	des	les
_64B832AEE534BD6D	cabpc1	Prakker très vigoureux	un	le	du	au	Prakkers très vigoureux	des	les
_D835D66B05C4E12F	cabpc2	Prakker défensif	un	le	du	au	Prakkers défensifs	des	les
_5971DA7F3D2A217F	cabpc3	Prakker fouilleur	un	le	du	au	Prakkers fouilleurs	des	les
_9B0FB6797FC80179	cabpc4	Prakker pétrifiant	un	le	du	au	Prakkers pétrifiants	des	les
_5D76222E884C1B13	cabpd1	Prakker embusqué	un	le	du	au	Prakkers embusqués	des	les
_1DE0E27F01992580	cabpd2	Prakker rôdeur	un	le	du	au	Prakkers rôdeurs	des	les
_1FF29974066B0372	cabpd3	Prakker furieux	un	le	du	au	Prakkers furieux	des	les
_7E77390568560418	cabpd4	Prakker indompté	un	le	du	au	Prakkers indomptés	des	les
_592516660985F547	cabpe1	Prakker énorme	un	le	du	au	Prakkers énormes	des	les
_5A20CA8D3ED90D8F	cabpe2	Prakker insatiable	un	le	du	au	Prakkers insatiables	des	les
_7E7789EF66140019	cabpe3	Prakker mauvais	un	le	du	au	Prakkers mauvais	des	les
_1D44FEBE8B443C53	cabpe4	Prakker attaquant	un	le	du	au	Prakkers attaquants	des	les
_9AB713A99BE11171	cabpf1	Prakker horrifiant	un	le	du	au	Prakkers horrifiants	des	les
_5FA42EBC0EE55066	cabpf2	Prakker atroce	un	le	du	au	Prakkers atroces	des	les
_9E81D675823A1D78	cabpf3	Prakker funeste	un	le	du	au	Prakkers funestes	des	les
_D4F03E57EF0E24F6	cbada1	Igara novice	un	l'\d	de l'\d	à l'\d	Igaras novices	des	les
_8B0F2D2D62743C71	cbada2	Igara secondaire	un	l'\d	de l'\d	à l'\d	Igaras secondaires	des	les
_05EF352362D44071	cbada3	Igara tempéré	un	l'\d	de l'\d	à l'\d	Igaras tempérés	des	les
_BE1025FB33A75F1D	cbada4	Igara grandissant	un	l'\d	de l'\d	à l'\d	Igaras grandissants	des	les
_850FCD2B66D43872	cbadb1	Igara repu	un	l'\d	de l'\d	à l'\d	Igaras repus	des	les
_8B8FCD1F6AB63C72	cbadb2	Igara commun	un	l'\d	de l'	à l'	Igaras communs	des	les
_3FB019062F964F12	cbadb3	Igara gavé	un	l'\d	de l'	à l'	Igaras gavés	des	les
_E63B290DEA693377	cbadb4	Igara intimidant	un	l'\d	de l'	à l'	Igaras intimidants	des	les
_7BEF120F3F0A7010	cbadc1	Igara vigilant	un	l'\d	de l'	à l'	Igaras vigilants	des	les
_0FB1CD236AF43C73	cbadc2	Igara vorace	un	l'\d	de l'	à l'	Igaras voraces	des	les
_DA344625C1FD8925	cbadc3	Igara pilleur	un	l'\d	de l'	à l'	Igaras pilleurs	des	les
_BE1035F5F0365F1F	cbadc4	Igara pénétrant	un	l'\d	de l'	à l'	Igaras pénétrants	des	les
_01DF09F773D78333	cbadd1	Igara brutal	un	l'\d	de l'	à l'	Igaras brutaux	des	les
_1640A25E2A6F28F6	cbadd2	Igara malveillant	un	l'\d	de l'	à l'	Igaras malveillants	des	les
_BE9F11FDB2465B20	cbadd3	Igara moqueur	un	l'\d	de l'	à l'	Igaras moqueurs	des	les
_FE1069FEACA67B28	cbadd4	Igara charognard	un	l'\d	de l'	à l'	Igaras charognards	des	les
_FC3FE9FE35B77F23	cbade1	Igara pourchassant	un	l'\d	de l'	à l'	Igaras pourchassants	des	les
_7BC00A14FCEA5818	cbade2	Igara instable	un	l'\d	de l'	à l'	Igaras instables	des	les
_52936182540E617E	cbade3	Igara terrorisant	un	l'\d	de l'	à l'	Igaras terrorisants	des	les
_D6009269AD603CFD	cbade4	Igara avide	un	l'\d	de l'	à l'	Igaras avides	des	les
_45C06D13DE4AABCE	cbaga1	Igara impur	un	l'\d	de l'	à l'	Igaras impurs	des	les
_7FCF16FDFC398001	cbaga2	Igara tuméfié	un	l'\d	de l'	à l'	Igaras tuméfiés	des	les
_D2C02B80A3E41D47	cbaga3	Igara contaminé	un	l'\d	de l'	à l'	Igaras contaminés	des	les
_C043E96D3C3A70ED	cbaga4	Igara infecté	un	l'\d	de l'	à l'	Igaras infectés	des	les
_40601A15FCFAA40F	cbagb1	Igara  écœurant	un	l'\d	de l'	à l'	Igaras écœurants	des	les
_7EFF520EBEDA600E	cbagb2	Igara puant	un	l'\d	de l'	à l'	Igaras puants	des	les
_458FA52B66944072	cbagb3	Igara morbide	un	l'\d	de l'	à l'	Igaras morbides	des	les
_003F520BBC1A7009	cbagb4	Igara empoisonné	un	l'\d	de l'	à l'	Igaras empoisonnés	des	les
_3F20F9F8B3774713	cbagc1	Igara souffrant	un	l'\d	de l'	à l'	Igaras souffrants	des	les
_02CF11F7B2A73AE3	cbagc2	Igara fiévreux	un	l'\d	de l'	à l'	Igaras fiévreux	des	les
_A4042634CBCD6934	cbagc3	Igara putréfié	un	l'\d	de l'	à l'	Igaras putréfiés	des	les
_3FA0421A3F0A8C10	cbagc4	Igara venimeux	un	l'\d	de l'	à l'	Igaras venimeux	des	les
_BBDF350270974714	cbagd1	Igara ravagé	un	l'\d	de l'	à l'	Igaras ravagés	des	les
_98607E652D6F2009	cbagd2	Igara poisseux	un	l'\d	de l'	à l'	Igaras poisseux	des	les
_92E4958A13E0C977	cbagd3	Igara pestilentiel	un	l'\d	de l'	à l'	Igaras pestilentiels	des	les
_C52FDD3360364474	cbagd4	Igara délirant	un	l'\d	de l'	à l'	Igaras délirants	des	les
_1762D66CB2707810	cbage1	Igara pustuleux	un	l'\d	de l'	à l'	Igaras pustuleux	des	les
_7EF02DF5B1A75721	cbage2	Igara suintant	un	l'\d	de l'	à l'	Igaras suintants	des	les
_7EBF11FBF0D65B21	cbage3	Igara écumant	un	l'\d	de l'	à l'	Igaras écumants	des	les
_DAD09A682D504405	cbage4	Igara répugnant	un	l'\d	de l'	à l'	Igaras répugnants	des	les
_FF6FF2033A597C0C	cbagf1	Igara dément	un	l'\d	de l'	à l'	Igaras déments	des	les
_7EB04AFD7D795418	cbagf2	Igara frénétique	un	l'\d	de l'	à l'	Igaras frénétiques	des	les
_7E4F26FD3C5A6810	cbagf3	Igara démoniaque	un	l'\d	de l'	à l'	Igaras démoniaques	des	les
_55F03E57EF0E24F6	cbaja1	Igara novice	un	l'\d	de l'	à l'	Igaras novices	des	les
_0C0F2D2D62743C71	cbaja2	Igara secondaire	un	l'\d	de l'	à l'	Igaras secondaires	des	les
_86EF352362D44071	cbaja3	Igara tempéré	un	l'\d	de l'	à l'	Igaras tempérés	des	les
_3F1025FB33A75F1D	cbaja4	Igara grandissant	un	l'\d	de l'	à l'	Igaras grandissants	des	les
_060FCD2B66D43872	cbajb1	Igara repu	un	l'\d	de l'	à l'	Igaras repus	des	les
_0C8FCD1F6AB63C72	cbajb2	Igara commun	un	l'\d	de l'	à l'	Igaras communs	des	les
_C0B019062F964F12	cbajb3	Igara gavé	un	l'\d	de l'	à l'	Igaras gavés	des	les
_673B290DEA693377	cbajb4	Igara intimidant	un	l'\d	de l'	à l'	Igaras intimidants	des	les
_FCEF120F3F0A7010	cbajc1	Igara vigilant	un	l'\d	de l'	à l'	Igaras vigilants	des	les
_90B1CD236AF43C73	cbajc2	Igara vorace	un	l'\d	de l'	à l'	Igaras voraces	des	les
_5B344625C1FD8925	cbajc3	Igara pilleur	un	l'\d	de l'	à l'	Igaras pilleurs	des	les
_3F1035F5F0365F1F	cbajc4	Igara pénétrant	un	l'\d	de l'	à l'	Igaras pénétrants	des	les
_82DF09F773D78333	cbajd1	Igara brutal	un	l'\d	de l'	à l'	Igaras brutaux	des	les
_9740A25E2A6F28F6	cbajd2	Igara malveillant	un	l'\d	de l'	à l'	Igaras malveillants	des	les
_3F9F11FDB2465B20	cbajd3	Igara moqueur	un	l'\d	de l'	à l'	Igaras moqueurs	des	les
_7F1069FEACA67B28	cbajd4	Igara charognard	un	l'\d	de l'	à l'	Igaras charognards	des	les
_7D3FE9FE35B77F23	cbaje1	Igara pourchassant	un	l'\d	de l'	à l'	Igaras pourchassants	des	les
_FCC00A14FCEA5818	cbaje2	Igara instable	un	l'\d	de l'	à l'	Igaras instables	des	les
_D3936182540E617E	cbaje3	Igara terrorisant	un	l'\d	de l'	à l'	Igaras terrorisants	des	les
_57009269AD603CFD	cbaje4	Igara avide	un	l'\d	de l'	à l'	Igaras avides	des	les
_29E83BA829078F62	cbajf5	Kim-kol	un	le	du	au	Kim-kols	des	les
_469CC926342DB4F3	cbbda1	Izam novice	un	l'\d	de l'	à l'	Izams novices	des	les
_30704129E8D7072F	cbbda2	Izam secondaire	un	l'\d	de l'	à l'	Izams secondaires	des	les
_ED0F6125A787F72F	cbbda3	Izam tempéré	un	l'\d	de l'	à l'	Izams tempérés	des	les
_899F85E7F292FAFF	cbbda4	Izam grandissant	un	l'\d	de l'	à l'	Izams grandissants	des	les
_AD8F111C2A27EF30	cbbdb1	Izam repu	un	l'\d	de l'	à l'	Izams repus	des	les
_303001162B792F30	cbbdb2	Izam commun	un	l'\d	de l'	à l'	Izams communs	des	les
_0501FD037270F6FA	cbbdb3	Izam gavé	un	l'\d	de l'	à l'	Izams gavés	des	les
_189624FA6FE8375C	cbbdb4	Izam intimidant	un	l'\d	de l'	à l'	Izams intimidants	des	les
_3F6E39F6A28AC019	cbbdc1	Izam vigilant	un	l'\d	de l'	à l'	Izams vigilants	des	les
_F2B14518AB98F731	cbbdc2	Izam vorace	un	l'\d	de l'	à l'	Izams voraces	des	les
_C5555E25FF5E74F6	cbbdc3	Izam pilleur	un	l'\d	de l'	à l'	Izams pilleurs	des	les
_899F85EFEEB0FA01	cbbdc4	Izam pénétrant	un	l'\d	de l'	à l'	Izams pénétrants	des	les
_05DF0DE774B2EE19	cbbde1	Izam pourchassant	un	l'\d	de l'	à l'	Izams pourchassants	des	les
_436F2D0123998021	cbbde2	Izam instable	un	l'\d	de l'	à l'	Izams instables	des	les
_2871A9610F2AEC63	cbbde3	Izam terrorisant	un	l'\d	de l'	à l'	Izams terrorisants	des	les
_C40D9149330FD0F9	cbbde4	Izam avide	un	l'\d	de l'	à l'	Izams avides	des	les
_A618A87B2157EF97	cbbde5	Dylion	un	le	du	au	Dylions	des	les
_C79CC926342DB4F3	cbbja1	Izam novice	un	l'\d	de l'	à l'	Izams novices	des	les
_B1704129E8D7072F	cbbja2	Izam secondaire	un	l'\d	de l'	à l'	Izams secondaires	des	les
_6E0F6125A787F72F	cbbja3	Izam tempéré	un	l'\d	de l'	à l'	Izams tempérés	des	les
_0A9F85E7F292FAFF	cbbja4	Izam grandissant	un	l'\d	de l'	à l'	Izams grandissants	des	les
_2E8F111C2A27EF30	cbbjb1	Izam repu	un	l'\d	de l'	à l'	Izams repus	des	les
_B13001162B792F30	cbbjb2	Izam commun	un	l'\d	de l'	à l'	Izams communs	des	les
_8601FD037270F6FA	cbbjb3	Izam gavé	un	l'\d	de l'	à l'	Izams gavés	des	les
_999624FA6FE8375C	cbbjb4	Izam intimidant	un	l'\d	de l'	à l'	Izams intimidants	des	les
_C06E39F6A28AC019	cbbjc1	Izam vigilant	un	l'\d	de l'	à l'	Izams vigilants	des	les
_73B14518AB98F731	cbbjc2	Izam vorace	un	l'\d	de l'	à l'	Izams voraces		les
_46555E25FF5E74F6	cbbjc3	Izam pilleur	un	l'\d	de l'	à l'	Izams pilleurs	des	les
_0A9F85EFEEB0FA01	cbbjc4	Izam pénétrant	un	l'\d	de l'	à l'	Izams pénétrants	des	les
_86DF0DE774B2EE19	cbbje1	Izam pourchassant	un	l'\d	de l'	à l'	Izams pourchassants	des	les
_C46F2D0123998021	cbbje2	Izam instable	un	l'\d	de l'	à l'	Izams instables	des	les
_A971A9610F2AEC63	cbbje3	Izam terrorisant	un	l'\d	de l'	à l'	Izams terrorisants	des	les
_450D9149330FD0F9	cbbje4	Izam avide	un	l'\d	de l'	à l'	Izams avides	des	les
_27E2A16A8D9BDC6D	cbbjf1	Izam agressif	un	l'\d	de l'	à l'	Izams agressifs	des	les
_439E111EDC961B17	cbbjf2	Izam furieux	un	l'\d	de l'	à l'	Izams furieux	des	les
_47075A2F06DF8CED	cbbjf3	Izam colossal	un	l'\d	de l'	à l'	Izams colossaux	des	les
_489CC926342DB4F3	cbbla1	Izam novice	un	l'\d	de l'	à l'	Izams novices	des	les
_32704129E8D7072F	cbbla2	Izam secondaire	un	l'\d	de l'	à l'	Izams secondaires	des	les
_EF0F6125A787F72F	cbbla3	Izam tempéré	un	l'\d	de l'	à l'	Izams tempérés	des	les
_8B9F85E7F292FAFF	cbbla4	Izam grandissant	un	l'\d	de l'	à l'	Izams grandissants	des	les
_AF8F111C2A27EF30	cbblb1	Izam repu	un	l'\d	de l'	à l'	Izams repus	des	les
_323001162B792F30	cbblb2	Izam commun	un	l'\d	de l'	à l'	Izams communs	des	les
_0701FD037270F6FA	cbblb3	Izam gavé	un	l'\d	de l'	à l'	Izams gavés	des	les
_1A9624FA6FE8375C	cbblb4	Izam intimidant	un	l'\d	de l'	à l'	Izams intimidants	des	les
_416E39F6A28AC019	cbblc1	Izam vigilant	un	l'\d	de l'	à l'	Izams vigilants	des	les
_F4B14518AB98F731	cbblc2	Izam vorace	un	l'\d	de l'	à l'	Izams voraces	des	les
_C7555E25FF5E74F6	cbblc3	Izam pilleur	un	l'\d	de l'	à l'	Izams pilleurs	des	les
_8B9F85EFEEB0FA01	cbblc4	Izam pénétrant	un	l'\d	de l'	à l'	Izams pénétrants	des	les
_0F5F3DEBF0F2EE1A	cbbld1	Izam brutal	un	l'\d	de l'	à l'	Izams brutaux	des	les
_090CB14171EEC0EE	cbbld2	Izam malveillant	un	l'\d	de l'	à l'	Izams malveillants	des	les
_8B9F4DEBF2D0F602	cbbld3	Izam moqueur	un	l'\d	de l'	à l'	Izams moqueurs	des	les
_0B9F8509EC90FA10	cbbld4	Izam charognard	un	l'\d	de l'	à l'	Izams charognards	des	les
_499CC926342DB4F3	cbbpa1	Izam novice	un	l'\d	de l'	à l'	Izams novices	des	les
_33704129E8D7072F	cbbpa2	Izam secondaire	un	l'\d	de l'	à l'	Izams secondaires	des	les
_F00F6125A787F72F	cbbpa3	Izam tempéré	un	l'\d	de l'	à l'	Izams tempérés	des	les
_8C9F85E7F292FAFF	cbbpa4	Izam grandissant	un	l'\d	de l'	à l'	Izams grandissants	des	les
_B08F111C2A27EF30	cbbpb1	Izam repu	un	l'\d	de l'	à l'	Izams repus	des	les
_333001162B792F30	cbbpb2	Izam commun	un	l'\d	de l'	à l'	Izams communs	des	les
_0801FD037270F6FA	cbbpb3	Izam gavé	un	l'\d	de l'	à l'	Izams gavés	des	les
_1B9624FA6FE8375C	cbbpb4	Izam intimidant	un	l'\d	de l'	à l'	Izams intimidants	des	les
_426E39F6A28AC019	cbbpc1	Izam vigilant	un	l'\d	de l'	à l'	Izams vigilants	des	les
